catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-delete-rest-api-3-issuetype-id,reviewed,DELETE,/rest/api/3/issuetype/{id},Delete issue type,reconcile,Issue types reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-get-rest-api-3-issuetype-id,reviewed,GET,/rest/api/3/issuetype/{id},Get issue type,extract,Issue types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-put-rest-api-3-issuetype-id,reviewed,PUT,/rest/api/3/issuetype/{id},Update issue type,load,Issue types creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-get-rest-api-3-issuetype-id-alternatives,reviewed,GET,/rest/api/3/issuetype/{id}/alternatives,Get alternative issue types,extract,Issue types extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue types,issue-types-post-rest-api-3-issuetype-id-avatar2,reviewed,POST,/rest/api/3/issuetype/{id}/avatar2,Load issue type avatar,transform,Issue types reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-types/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type properties,issue-type-properties-get-rest-api-3-issuetype-issuetypeid-properties,reviewed,GET,/rest/api/3/issuetype/{issueTypeId}/properties,Get issue type property keys,extract,Issue type properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type properties,issue-type-properties-delete-rest-api-3-issuetype-issuetypeid-properties-propertykey,reviewed,DELETE,/rest/api/3/issuetype/{issueTypeId}/properties/{propertyKey},Delete issue type property,reconcile,Issue type properties reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type properties,issue-type-properties-get-rest-api-3-issuetype-issuetypeid-properties-propertykey,reviewed,GET,/rest/api/3/issuetype/{issueTypeId}/properties/{propertyKey},Get issue type property,extract,Issue type properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type properties,issue-type-properties-put-rest-api-3-issuetype-issuetypeid-properties-propertykey,reviewed,PUT,/rest/api/3/issuetype/{issueTypeId}/properties/{propertyKey},Set issue type property,transform,Issue type properties reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-properties/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type schemes,issue-type-schemes-get-rest-api-3-issuetypescheme,reviewed,GET,/rest/api/3/issuetypescheme,Get all issue type schemes,extract,Issue type schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type schemes,issue-type-schemes-post-rest-api-3-issuetypescheme,reviewed,POST,/rest/api/3/issuetypescheme,Create issue type scheme,load,Issue type schemes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type schemes,issue-type-schemes-get-rest-api-3-issuetypescheme-mapping,reviewed,GET,/rest/api/3/issuetypescheme/mapping,Get issue type scheme items,extract,Issue type schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-schemes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue type schemes,issue-type-schemes-get-rest-api-3-issuetypescheme-project,reviewed,GET,/rest/api/3/issuetypescheme/project,Get issue type schemes for projects,extract,Issue type schemes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-type-schemes/
